error,units,activation,layers,time,train,test
0,2,relu,0,44.95073103904724,1055.6924342105262,1087.921630859375
0,10,relu,0,44.93898797035217,185.67123734323602,79.63504028320312
0,100,relu,0,46.29974102973938,68.27789386950042,13.40709114074707
0,2,relu,1,50.530791997909546,152973.40789473685,71499.1171875
0,10,relu,1,49.26684808731079,14.5060261676186,84.26988220214844
0,100,relu,1,49.261000871658325,11.309442319368062,18.87662696838379
25,2,relu,0,45.43916702270508,1090.4887952302631,2019.7174072265625
25,10,relu,0,47.46541500091553,956.2679507606908,1901.3231201171875
25,100,relu,0,49.2104709148407,1210.4203394839637,4285.19873046875
25,2,relu,1,51.15361404418945,972.9282933285361,1684.6199951171875
25,10,relu,1,57.566421031951904,332.93031551963406,577.1544189453125
25,100,relu,1,61.149959087371826,151.70204644454154,691.3323364257812
50,2,relu,0,49.89151382446289,4104.7364309210525,3133.06494140625
50,10,relu,0,49.886128187179565,3333.3437756990133,4924.8388671875
50,100,relu,0,50.157474994659424,1672.6547980057567,5726.0029296875
50,2,relu,1,54.71449303627014,164244.8009868421,75180.1953125
50,10,relu,1,53.015573024749756,1442.9186754728619,7029.27783203125
50,100,relu,1,56.27633786201477,1985.9904014185856,8056.0146484375
