error,units,activation,layers,time,train,test
0,1,relu,0,40.504525899887085,1772.801731418919,713.3614501953125
0,100,relu,1,45.81100082397461,12.452220091948638,22.94585418701172
0,1,relu,1,45.10391616821289,575.1441172006968,832.6392822265625
0,100,relu,0,40.909773111343384,51.70436962230785,37.688690185546875
0,10,relu,1,45.48258113861084,33.46563658843169,25.656343460083008
0,10,relu,0,41.850489139556885,221.811833149678,208.40476989746094
25,1,relu,0,42.11755108833313,135749.1570945946,53661.06640625
25,100,relu,1,48.053282022476196,72.98227464830553,408.9323425292969
25,1,relu,1,45.69666814804077,135749.97212837837,53661.6015625
25,100,relu,0,43.5315728187561,1499.3180360536317,717.7100830078125
25,10,relu,1,49.16153907775879,217.49338675834036,540.5660400390625
25,10,relu,0,44.60939598083496,791.5933606946791,966.2716064453125
50,1,relu,0,44.09977698326111,3682.4934477934967,2037.115478515625
50,100,relu,1,49.347147941589355,829.9942231049408,3317.799072265625
50,1,relu,1,47.14920711517334,140593.52702702704,52138.171875
50,100,relu,0,45.21875977516174,2205.901512352196,4663.048828125
50,10,relu,1,48.76049304008484,1518.7466876055744,1848.3875732421875
50,10,relu,0,47.119394063949585,3511.558474978885,2444.994384765625
