error,units,activation,layers,time,train,test
0,10,relu,0,39.27612900733948,360.94337543688323,131.94029235839844
0,100,relu,1,45.31367802619934,5.262779386419999,5.235546588897705
0,100,relu,0,39.196157932281494,247.2867576197574,152.40126037597656
0,1,relu,0,39.46359300613403,152988.10361842104,71509.2421875
0,10,relu,1,45.421191930770874,18.70956039428711,43.05537796020508
0,1,relu,1,46.00558280944824,152978.5082236842,71502.640625
25,10,relu,0,43.28979682922363,748.6363653885691,449.0732727050781
25,100,relu,1,45.82122206687927,334.2878193102385,1705.4471435546875
25,100,relu,0,42.31966686248779,1445.3859156558387,2320.7744140625
25,1,relu,0,40.40688705444336,1443.8704833984375,1825.0499267578125
25,10,relu,1,44.5809600353241,768.5502608449835,872.5380249023438
25,1,relu,1,44.9896080493927,158033.5,74153.140625
50,10,relu,0,41.355889081954956,2525.233526932566,6223.7822265625
50,100,relu,1,47.40926694869995,1175.2806308144018,7731.1962890625
50,100,relu,0,42.49530506134033,1955.5671964946546,10618.13671875
50,1,relu,0,43.06268000602722,161208.1990131579,67684.375
50,10,relu,1,48.19695782661438,2391.820151881168,8456.92578125
50,1,relu,1,47.31078004837036,160821.96217105264,67409.28125
