error,units,activation,layers,time,train,test
0,10,linear,0,78.81363701820374,1467.8873653927365,1343.16650390625
0,10,linear,1,70.21351599693298,2629.114310599662,1097.751220703125
0,10,relu,1,71.11868119239807,5.746077717961492,35.34218215942383
0,10,linear,2,72.66390585899353,1135.8629117398648,882.0084838867188
0,10,relu,0,70.60526299476624,157.84808019689612,49.12221145629883
0,200,linear,2,112.0295820236206,4599.68677417652,2173.497314453125
0,10,relu,2,73.29117012023926,45.51982085769241,51.56500244140625
0,200,linear,0,69.34967708587646,87330.0004222973,25551.1015625
0,200,linear,1,93.44529700279236,1852.547449885188,3618.107666015625
0,100,relu,2,87.07446217536926,2.768978060902776,8.722142219543457
0,100,relu,1,79.46444702148438,28.55631689123205,4.794930458068848
0,100,linear,2,87.3229730129242,1160.7589672191723,1852.65478515625
0,100,relu,0,70.88484716415405,111.76266149572425,136.3007049560547
0,100,linear,0,71.91303205490112,1216.11346270587,1782.833251953125
0,1,linear,2,75.12608790397644,1184.3896335911106,1145.7117919921875
0,100,linear,1,78.57242393493652,5469.875633445946,1743.341796875
0,1,linear,1,72.726243019104,561.9549399710991,884.2655029296875
0,1,relu,2,74.46656608581543,147852.8251689189,57681.1953125
0,200,relu,2,118.56732201576233,86519.90329391892,20146.580078125
0,1,linear,0,73.32023501396179,837.1920446447424,984.407958984375
0,200,relu,1,96.8945369720459,15.041793307742557,9.121675491333008
0,1,relu,0,73.63405084609985,659.0100971943623,1041.9185791015625
0,200,relu,0,72.79136395454407,549.647664662954,634.1250610351562
0,1,relu,1,74.20434904098511,559.1363698598501,960.6068725585938
50,10,linear,0,71.44966793060303,3433.0678447001687,1537.0792236328125
50,10,linear,1,77.29814386367798,3097.065779402449,1145.48974609375
50,10,relu,1,75.17136716842651,1601.4356540989231,2464.262451171875
50,10,linear,2,76.45566296577454,3184.470505173142,1283.1583251953125
50,10,relu,0,72.77110004425049,1369.2718670819256,3581.0908203125
50,200,linear,2,119.84476089477539,814787.8141891892,82855.34375
50,10,relu,2,78.22255778312683,1313.6899579022381,3581.84716796875
50,200,linear,0,74.39258003234863,3997.6357157939187,1172.11181640625
